Road,Number_of_Fees(sheet/day),Total_Parking_Hours(hours/day),Number_of_Parking_Space,Hours_per_sheet,Time_Start,Time_End,Interval,Space_efficiency
西寧南路A,298.6211209,338.0171376,217.229736,1.131926424,9:00,21:00,12,13.00%
西寧南路B,43.83773292,100.3765528,66.46350932,2.289729557,9:00,17:00,8,18.90%
西園路二段,39.65862069,69.0862069,43.28045977,1.742022433,9:00,17:00,8,20.00%
西園路二段(仁濟公園周邊),4.512820513,6.920745921,5.013986014,1.53357438,9:00,17:00,8,17.30%
西園路一段,47.646,81.17,54.98133333,1.703605759,9:00,17:00,8,18.50%
仙岩路,68.82,114.86,89.6,1.668991572,9:00,17:00,8,16.00%
襄陽路,35.81395349,35.81395349,32,1,9:00,17:00,8,14.00%
向陽路,9.358024691,15.73868313,8.325102881,1.681838171,9:00,17:00,8,23.60%
向陽路(圓環周邊),15.91724138,35.34482759,24.6045977,2.220537262,9:00,17:00,8,18.00%
向陽路162巷,20.8875,44.34,33.05,2.122800718,9:00,17:00,8,16.80%
小北街,31.49655172,58.84827586,27.63218391,1.868403766,9:00,17:00,8,26.60%
辛亥路7段,16.28,29.56,41.36,1.815724816,9:00,17:00,8,8.90%
辛亥路二段A,65.3091954,110.8931034,41.83563218,1.697970749,7:00,20:00,13,20.40%
辛亥路二段B,30.15852682,72.11529223,26.26180945,2.391207391,9:00,17:00,8,34.30%
辛亥路三段157巷,32.38275862,66.07241379,34.74137931,2.040357789,9:00,17:00,8,23.80%
辛亥路一段,128.1701613,230.1153226,94.66854839,1.795389194,7:00,20:00,13,18.70%
辛亥橋下,123.0689655,287.9068966,146.6091954,2.339394788,7:00,21:30,14.5,13.50%
新東街,69.85816619,104.6074499,80.56017192,1.497426222,7:00,20:00,13,10.00%
新光路1段,62.92,96.88,24.3,1.539732994,9:00,17:00,8,49.80%
新光路二段A,24.14164905,5.926004228,27.64904863,0.24546808,11:00,14:00,3,7.10%
新光路二段B,19.55265797,26.31494483,24.19859579,1.345850005,9:00,17:00,8,13.60%
新光路二段C,369.5686275,134.0130719,633.4771242,0.36262026,9:00,17:00,8,2.60%
新湖1路128巷,93.90574713,108.9586207,111.3632184,1.160297682,9:00,17:00,8,12.20%
新湖1路36巷,33.69459459,76.83243243,32.98648649,2.280259886,9:00,17:00,8,29.10%
新湖1路A,115.9565217,192.2318841,212.8695652,1.657792776,9:00,17:00,8,11.30%
新湖1路B,83.65217391,133.3623188,333.4782609,1.594248094,9:00,17:00,8,5.00%
新湖2路A,89.03448276,116.9137931,148.2758621,1.313129357,9:00,17:00,8,9.90%
新湖2路B,118.8550725,181.0724638,186.4347826,1.523472747,9:00,17:00,8,12.10%
新湖二路,245.6256831,428.068306,427.0218579,1.742766883,9:00,17:00,8,12.50%
新湖二路146巷,46.28505747,77.72643678,35.51034483,1.679298699,9:00,17:00,8,27.40%
新湖二路191巷,34.09885057,82.37701149,34.28735632,2.415829569,11:00,17:00,6,40.00%
新湖二路250巷,31.60229885,79.42988506,23.24137931,2.51342111,9:00,17:00,8,42.70%
新湖二路282巷,7.09478673,12.02843602,48.50236967,1.695390782,9:00,17:00,8,3.10%
新湖二路295巷,12.77699531,20.50704225,22.79577465,1.604997244,9:00,17:00,8,11.20%
