Road,Number_of_Parking_Space,Hours_per_sheet,Space_efficiency,Road_Start,Road_End
桂林路堤外平面,166.8373984,0.392521714,3.10%,桂林路底堤防內,
貴陽街二段,74.27016445,1.882696117,20.70%,環河南路一段,康定路
貴陽街一段,57.94319527,1.752314425,21.30%,重慶南路,公園路
國興路,48.56356275,2.350109726,23.70%,中華路二段416巷,水源路
哈密街,9.074529389,1.523851161,24.90%,承德路三段,庫倫街61巷
哈密街,9.074529389,1.523851161,24.90%,敦煌路,哈密街
哈密街,9.074529389,1.523851161,24.90%,大龍街,重慶北路三段
哈密街59巷56弄,20,1.891515994,17.00%,哈密街59巷,哈密街59巷78弄
漢口街二段,282.0630936,1.00717124,11.10%,中華路,環河南路
漢口街一段B（含機車）,161.5042537,1.000273526,16.30%,館前路,博愛路
漢口街一段C（含機車）,110.0403023,1.004893755,8.30%,博愛路,中華路一段
漢中街B,116,1,11.50%,開封街,漢口街
杭州北路,49.89351852,1.44926124,17.30%,北平東路,忠孝東路
杭州南路二段,82.01720648,1.372014752,13.70%,信義路,羅斯福路
杭州南路二段-大車場,98.4665127,0.781435572,7.90%,信義路,愛國東路
杭州南路二段25巷,89.91264368,1.566612788,18.30%,杭州南路,信義路二段44巷
杭州南路一段,81.45390625,1.295774648,15.50%,忠孝東路,信義路
合江街,3.880046136,2.041361043,37.20%,民權東路3段,長春路
和平東路二段,2.269470405,0.753105819,70.20%,復興南路,建國南路
和平東路二段76巷,48.62906977,2.494943095,30.60%,和平東路二段90巷,辛亥路
和平東路二段90巷,2.549295775,2.154040404,49.10%,和平東路二段,和平東路二段76巷
和平東路二段96巷,41.57834101,2.386309448,32.20%,和平東路二段,辛亥路
和平東路三段228巷,20.13290113,2.066362617,26.90%,和平東路,樂業街
和平東路三段A(一般),47.06547155,1.902491572,13.80%,基隆路,臥龍街
和平東路一段,51.75934959,1.350334682,15.80%,新生南路,金山南路
和平西路二段,114.1991525,1.678252201,14.10%,泉州街,中華路二段
和平西路二段104巷,6.089020772,1.049967554,9.90%,和平西路二段,三元街
和平西路三段,34.04484658,1.30932931,14.50%,南寧路,環河南路2段
和平西路一段,18.56359102,1.782711712,24.40%,南昌路一段,重慶南路三段
衡陽路（含機車）,17.52780083,1.092756025,18.00%,懷寧街,重慶南路
後港街134巷,27.32949309,2.304755171,27.50%,後港街,華齡街
湖口街,58.92413793,1.784541244,18.60%,愛國西路,南海路
葫蘆街,84.66666667,2.246523388,14.60%,延平北路5段,延平北路5段
華齡街（含185巷）,164.0728814,1.760177838,11.40%,大南路,前港街
華榮市場,127.9195402,1.737361709,24.30%,華榮市場周邊,華聲公園周邊
華亭街,32.77648579,1.922075972,16.80%,長安西路,南京西路
華中堤外平面場,191.6120092,0.403846888,1.60%,堤外,
懷寧街A,43.01204819,1.962643539,25.80%,忠孝西路,寶慶路
懷寧街B（含機車）,918.3046358,1,11.80%,忠孝西路,凱達格蘭大道
環河北路3段,86.88888889,2.262599469,6.80%,社中街,中 正路
環河北路堤外（3號水門堤外）小型車,1136.266417,2.627519406,2.20%,,
環河北路堤外（5號水門堤外）,101.3573298,1.821536999,6.90%,,
環河北路堤外（5號水門牆邊）,157.3458647,2.795924834,11.70%,,
環河南路堤外防汛道,222.5942529,0.378666584,1.60%,長順街,桂林路
環河南路二段A,138.1981672,1.74795298,13.90%,和平西路,西藏路
環河南路二段B,74.26008969,1.533138585,24.60%,西藏路,艋舺大道
環河南路二段C,7.160523187,1.736708523,27.00%,和平西路三段,廣州街
環河南路橋下A,498.7011494,2.379146919,10.90%,環河南路,桂林路246巷
環河南路橋下B,110.4298851,2.224421619,11.60%,內江街,成都路
環河南路橋下C,79.83333333,2.114771737,15.00%,峨嵋街,武昌街
環河南路三段,101.1793103,2.157474318,17.30%,艋舺大道,萬大路
環南市場甲-丁棟地下室,179.4527163,2.653970712,7.00%,,
環南市場內內環道路,106.367713,1.048533818,13.80%,,
環山路1段,156.8333333,2.083063914,13.90%,內湖路1段,環山路2段10巷
環山路2段,178.4235294,2.083168317,10.40%,環山路2段10巷,港墘路
環山路3段,95.84946237,2.282533793,7.40%,港墘路,內湖路2段179巷
磺港路,186.2714286,1,3.80%,光明路,公館路
磺溪街,46.28571429,1.756268302,23.90%,克強路,德行西路
惠安街,86.70344828,1.147325336,19.70%,忠義國小旁,
惠安街A,9.081272085,1.513996139,15.30%,汀洲路1段92巷,南海路
惠民街,67.41840607,2.148839988,23.40%,重陽路,南港路一段
基河路188巷,26.50697674,1.462355572,15.90%,基河路,士商路
基河路300巷,59.32596685,1.42655049,16.70%,基河路,士商路
基河路396巷,19.65745856,1.756983705,24.70%,基河路,士商路
基河路A,109.6764954,1.375540436,14.30%,中正路,通河街
基河路B含機車,392.8721528,1.007987597,5.30%,大南路,劍潭路
基河路C,22.4014733,1.683591885,16.60%,天文台,中正路
基湖路10巷,77.48212226,1.509706652,14.40%,基湖路,內湖路一段120巷
基湖路112巷,28.1314554,1.905775076,9.80%,基湖路,樂群二路266巷
基湖路120巷,38.92974239,1.588556898,9.40%,基湖路,樂群二路266巷
基湖路157巷,12.78873239,1.669102296,18.30%,基湖路145巷,基湖路151巷46弄
基湖路166巷,2.48441247,1.272077922,37.80%,基湖路,樂群二路266巷
基湖路35巷2弄,143.3659379,0.964129073,7.40%,基湖路35巷,瑞光路548巷
基湖路3巷,147.7586207,0.943252554,7.70%,基湖路,瑞光路513巷
基隆路三段155巷,113.0827586,1.985987125,14.20%,基隆路,芳蘭路
基隆路一段,2.116504854,1,5.00%,南京東路五段,八德路四段  
基隆路一段102巷,136.0586207,2.77146256,21.80%,基隆路一段,忠孝東路四段559巷
基隆路一段172巷,23.36781609,2.536803258,37.70%,基隆路一段,忠孝東路四段559巷
吉林路A,36.17957166,1.845346147,23.60%,南京東路,民生東路
吉林路B,30.85411765,1.921809663,22.40%,民生東路,民權東路
吉林路C,11.12583893,1.64540981,23.70%,南京東路,長安東路
吉林路D,15.25248344,1.800814949,23.60%,民權東路,民族東路
吉祥路,9.238410596,1.851865399,27.90%,南京東路五段,八德路四段  
濟南路二段,46.36693548,1.712516855,17.70%,杭州南路,新生南路
濟南路一段,182.7226667,1.441993255,13.80%,中山南路,杭州南路
嘉興街,11.66666667,2.940298507,21.60%,基隆路2段,樂業街
建國北路1段124巷,8.3,1.558227848,22.80%,伊通街,建國北路1段
建國北路1段138巷,22.6,2.025161754,19.20%,建國北路1段,伊通街
建國北路1段23巷,9.423963134,1.998495109,20.00%,建國北路1段,龍江路
建國北路1段33巷,35.08965517,1.919687472,21.30%,建國北路1段,龍江路
建國北路1段88巷,30.3,1.823303457,21.70%,建國北路1段,伊通街
建國北路1段92巷,60.68965517,1.658942096,16.00%,伊通街,建國北路1段
建國北路3段93巷5弄,29.40689655,1.298944727,17.20%,建國北路3段113巷,建國北路3段93巷
建國北路二段,50.10380267,1.306346746,11.60%,民權東路, 民生東路
建國北路二段A,23.18323747,1.734671126,20.40%,南京東路,民生東路
建國北路橋下A區,216.5979021,2.446856381,12.60%,長安東路二段,朱崙街
建國北路橋下B區,561.8402778,2.760727607,11.60%,朱崙街,南京東路二段
建國北路橋下C區,129.4444444,2.201587916,13.00%,南京東路二段,四平街口
建國北路橋下C區與D區間迴轉道,91.11111111,1.776585674,18.30%,,
建國北路橋下D區,111.6818182,2.129674439,13.10%,長春路,四平迴轉道口
建國北路橋下O區,278.7944251,2.476691978,10.30%,八德路二段,長安東路二段
建國北路三段,65.75792039,1.641009298,18.30%,民權東路,民族東路
建國北路三段113巷,34.31724138,1.096228606,18.20%,民權東路410巷2弄,民族東路
建國北路一段,2.197755961,1.179467966,16.70%,南京東路,長安東路
建國南路1段65巷,10,1.2,4.60%,安東街40巷,建國南路1段
建國南路二段,6.634146341,1.702326987,17.70%,信義路三段,和平東路二段
建國南路二段151巷,12.41440217,1.520939147,13.40%,建國南路二段,信義路三段134巷
建國南路高架橋下A段,430.4074074,2.282570283,15.20%,和平東路,瑞安街244巷
建國南路高架橋下B段,398.9462366,2.392696789,8.10%,建國南路二段151巷,建國南路二段79巷
建國南路高架橋下C段,156.5106383,3.158941845,14.00%,建國南路二段79巷,建國南路二段39巷
建國南路高架橋下D1段,167.9505814,2.27534708,14.40%,信義路,建國南路一段107巷
建國南路高架橋下D2段,230.3435294,2.667140072,14.00%,建國南路一段107巷,建國南路一段258巷
建國南路高架橋下D3段,141.4234043,2.77671309,20.40%,建國南路一段258巷,仁愛路
建國南路高架橋下D段,86.47928994,2.445075499,21.90%,建國南路二段39巷,信義路
建國南路高架橋下E段,297.1957295,3.528893066,7.50%,仁愛路,濟南路
建國南路高架橋下F段,127.183432,2.221573633,21.20%,濟南路,忠孝東路
建國南路一段(機車),76.75468165,0.747198642,2.70%,市民大道,忠孝東路
建國南路一段A,111.5842697,0.793831053,7.00%,寧馨公園,忠孝東路西側
建國南路一段B,25.42913386,1.096751177,9.20%,忠孝東路,信義路
健康路15巷,33.68045977,2.035271967,25.50%,敦化北路199巷,健康路
健康路325巷,23.63981588,2.114222845,15.80%,延壽街,健康路
健康路325巷19弄,19.93103448,2.009845702,19.70%,健康路325巷,延壽街72巷
健康路325巷5弄,19.92626728,2.478864642,23.50%,健康路325巷,延壽街72巷
健康路B,120.4692308,1.983575315,13.00%,寶清街,延壽街330巷
健康路C,33.11264368,2.001638747,19.10%,塔悠路,寶清街
健康路YA0,44.7452007,2.290629773,24.90%,光復北路,健康路15巷
健康路ZA0,47.20756303,2.045973976,25.90%,延壽街330巷,光復北路
劍潭堤外停車場,413.6505747,0.408952256,1.30%,通河街323巷底堤外,
劍潭路東側,75.84,2.112781955,18.50%,後港街,華齡街
教育大學大客車平面,99.21871049,1.235573477,2.20%,明水路,北安路
金湖臨時平面停車場,80.30344828,2.877045494,14.90%,,
金湖路,1.142857143,1,14.80%,成功路4段,成功路5段
金華街A,46.74680073,1.893113274,23.60%,羅斯福路,杭州南路
金華街B,100.3793103,1.737750727,20.00%,新生南路,金山南路
